frame,time_seconds,flash_offset,x,y,width,height,pixel_count,raw_length,encoded_length,record_length,decoded_crc32
442,14.733333333333333,830555,60,40,47,48,2256,4512,2465,2481,4F2BAA0E
443,14.766666666666667,833036,60,40,44,48,2112,4224,2405,2421,3154D15B
444,14.8,835457,59,41,45,47,2115,4230,2383,2399,E20B3237
445,14.833333333333334,837856,67,59,36,21,756,1512,946,962,937834D7
446,14.866666666666667,838818,59,41,44,47,2068,4136,2253,2269,6A6E287E
447,14.9,841087,65,55,27,20,540,1080,819,835,9ED5B967
448,14.933333333333334,841922,59,42,43,46,1978,3956,2207,2223,A7C8BB76
449,14.966666666666667,844145,59,42,44,46,2024,4048,2216,2232,19FB6293
450,15.0,846377,59,40,45,48,2160,4320,2272,2288,1C2D71D7
451,15.033333333333333,848665,80,45,4,39,156,312,201,217,E417FD1C
452,15.066666666666666,848882,60,40,44,48,2112,4224,2345,2361,88C84829
453,15.1,851243,59,40,45,48,2160,4320,2394,2410,40273AF4
454,15.133333333333333,853653,57,40,47,48,2256,4512,2423,2439,CC279951
455,15.166666666666666,856092,66,54,36,17,612,1224,908,924,AFAB8B67
456,15.2,857016,57,40,48,48,2304,4608,2429,2445,674D735B
457,15.233333333333333,859461,85,82,1,1,1,2,3,19,F30BA9A0
458,15.266666666666667,859480,59,40,47,48,2256,4512,2411,2427,738E1610
459,15.3,861907,62,40,45,48,2160,4320,2302,2318,A934C2A5
460,15.333333333333334,864225,63,40,45,48,2160,4320,2275,2291,CBB96AA5
461,15.366666666666667,866516,64,41,44,47,2068,4136,2241,2257,53D40475
462,15.4,868773,65,41,44,47,2068,4136,2095,2111,FCBB05CE
463,15.433333333333334,870884,68,48,18,38,684,1368,886,902,141577AC
464,15.466666666666667,871786,75,56,32,30,960,1920,1197,1213,B9938322
465,15.5,872999,65,42,44,44,1936,3872,2017,2033,665CF522
466,15.533333333333333,875032,65,42,44,46,2024,4048,2159,2175,ECBA3B91
467,15.566666666666666,877207,64,40,44,48,2112,4224,2225,2241,0FA2EFD8
468,15.6,879448,64,40,44,48,2112,4224,2252,2268,26D375FD
469,15.633333333333333,881716,78,61,1,1,1,2,3,19,AE74051C
470,15.666666666666666,881735,64,40,44,48,2112,4224,2312,2328,EDCAF941
471,15.7,884063,64,40,45,48,2160,4320,2459,2475,79EC2C51
472,15.733333333333333,886538,70,45,40,43,1720,3440,2151,2167,9E06A311
473,15.766666666666667,888705,62,40,48,48,2304,4608,2476,2492,A18DFF1B
474,15.8,891197,61,40,47,48,2256,4512,2470,2486,F4833533
475,15.833333333333334,893683,67,45,37,37,1369,2738,1785,1801,F5AFD93B
476,15.866666666666667,895484,60,40,47,48,2256,4512,2477,2493,7E5A960F
477,15.9,897977,60,40,44,48,2112,4224,2405,2421,182E5C7F
478,15.933333333333334,900398,59,41,45,47,2115,4230,2368,2384,5FB17217
479,15.966666666666667,902782,59,41,44,47,2068,4136,2236,2252,17106B66
480,16.0,905034,65,45,29,43,1247,2494,1694,1710,0EE5F082
481,16.033333333333335,906744,0,0,0,0,0,0,0,16,00000000
482,16.066666666666666,906760,59,42,43,45,1935,3870,2180,2196,DC1755BC
483,16.1,908956,59,42,44,46,2024,4048,2207,2223,8DC7B538
484,16.133333333333333,911179,59,40,45,48,2160,4320,2272,2288,35880252
485,16.166666666666668,913467,60,40,44,48,2112,4224,2346,2362,CB0CEAF6
486,16.2,915829,59,40,45,48,2160,4320,2388,2404,65C44CEA
487,16.233333333333334,918233,68,45,22,40,880,1760,1156,1172,EDB5CD77
488,16.266666666666666,919405,57,40,47,48,2256,4512,2422,2438,CCBC9313
489,16.3,921843,59,45,40,35,1400,2800,1726,1742,3DD2A9BC
490,16.333333333333332,923585,57,40,48,48,2304,4608,2441,2457,C986E394
491,16.366666666666667,926042,59,40,47,48,2256,4512,2407,2423,81A690F8
492,16.4,928465,62,40,45,48,2160,4320,2302,2318,924F7DB8
493,16.433333333333334,930783,94,65,1,1,1,2,3,19,88BC34BB
494,16.466666666666665,930802,63,40,45,48,2160,4320,2269,2285,0B70ECED
495,16.5,933087,64,41,44,47,2068,4136,2236,2252,22952A1F
496,16.533333333333335,935339,64,41,45,47,2115,4230,2137,2153,C519775C
497,16.566666666666666,937492,75,52,32,20,640,1280,971,987,7DDE110E
498,16.6,938479,65,42,44,44,1936,3872,2028,2044,6609B8E6
499,16.633333333333333,940523,85,45,18,43,774,1548,974,990,ABE44ED7
500,16.666666666666668,941513,65,42,44,46,2024,4048,2161,2177,1ADCC286
501,16.7,943690,64,40,44,48,2112,4224,2229,2245,87606071
502,16.733333333333334,945935,64,40,44,47,2068,4136,2239,2255,DD9016CB
503,16.766666666666666,948190,64,40,44,48,2112,4224,2319,2335,0903E46D
504,16.8,950525,64,40,45,48,2160,4320,2464,2480,3AD0C7DD
505,16.833333333333332,953005,79,53,1,1,1,2,3,19,AED6626D
506,16.866666666666667,953024,79,53,31,33,1023,2046,1230,1246,8E59A618
507,16.9,954270,62,40,48,48,2304,4608,2450,2466,80123D4E
508,16.933333333333334,956736,62,40,46,48,2208,4416,2454,2470,CAA87788
509,16.966666666666665,959206,60,40,46,48,2208,4416,2478,2494,E3835491
